5559,2
3785,2
10708,0
10961,2
1355,0
3988,0
10027,2
9341,0
12785,0
4254,2
3263,2
723,0
16238,0
11665,2
10605,0
4704,0
1941,2
8528,0
12879,0
18664,2
6446,2
181,2
17263,2
3307,2
19395,2
6403,2
12426,0
14742,0
86,2
5536,2
959,0
719,0
11763,2
20888,2
2764,0
19597,2
9913,2
19457,2
417,2
2569,0
7699,2
21163,2
5876,0
14093,0
6235,2
18871,2
10656,0
19055,2
13726,0
11494,0
13050,2
6218,2
14442,0
18006,0
5916,2
19012,2
2722,0
18486,0
15495,0
12018,2
17729,2
15781,2
8370,2
18459,2
6232,2
11096,2
9441,2
11182,2
17290,2
6750,0
3591,2
7448,2
20646,2
18225,0
2800,2
1885,0
18306,2
2188,0
9939,0
17021,0
7693,0
6857,2
11460,2
16825,0
14738,0
6773,0
8494,2
13647,2
4421,2
13575,2
21084,2
21283,0
19053,2
14013,2
10166,2
13676,2
12840,2
12328,0
3736,2
19837,2
14715,2
7220,0
17162,0
16751,2
11510,2
10543,0
7401,0
7164,2
20900,2
2031,0
3808,2
6332,2
11549,0
779,2
16052,2
9784,2
20972,0
15445,2
12339,2
7598,2
5015,2
8651,2
5087,0
7750,2
7875,0
1676,2
15921,0
8492,2
15173,0
15404,0
17813,2
16000,2
15547,2
639,2
18942,0
16443,2
255,0
20712,0
13639,0
4289,2
6275,2
2106,0
15275,2
5835,0
16643,2
122,2
3246,0
14393,2
2477,2
1069,0
3852,2
14994,0
11353,2
17450,2
15918,0
14585,2
12381,2
18485,0
4478,2
16093,0
10749,2
21267,0
18319,0
11536,2
13805,0
7594,0
20489,2
14563,2
14054,2
20585,2
2284,2
19703,0
5024,2
13597,0
6703,0
17739,0
10706,0
13620,2
15839,2
9818,2
6004,0
19392,2
10457,0
12595,2
7088,2
326,0
11358,2
8695,2
60,0
20317,2
8886,2
20835,0
5630,2
3013,2
6441,0
12897,2
5844,2
8305,0
3528,0
19418,0
2597,2
9371,0
16598,2
18944,2
1777,2
10362,0
14249,2
10712,2
6097,2
18454,0
15195,2
3191,0
1852,2
